Rank,Estimated_number,Group
153,66441 ,Lower
152,60920 ,Lower
151,60027 ,Lower
150,57945 ,Lower
149,56984 ,Lower
148,55375 ,Lower
147,50198 ,Lower
146,47964 ,Lower
145,47307 ,Lower
144,41871 ,Lower
143,41400 ,Lower
142,40327 ,Lower
141,39926 ,Lower
140,37506 ,Lower
139,36378 ,Lower
138,35399 ,Lower
137,34678 ,Lower
136,33685 ,Lower
135,32318 ,Lower
134,31822 ,Lower
133,29659 ,Lower
132,29630 ,Lower
131,29082 ,Lower
130,28246 ,Lower
129,27260 ,Lower
128,27214 ,Lower
127,26324 ,Lower
126,25935 ,Lower
125,23879 ,Lower
124,23865 ,Lower
123,23440 ,Lower
122,23345 ,Lower
121,23249 ,Lower
120,23206 ,Lower
119,22752 ,Lower
118,22743 ,Lower
117,22664 ,Lower
116,21625 ,Lower
115,20659 ,Lower
114,20077 ,Lower
113,19817 ,Lower
112,19513 ,Lower
111,19301 ,Lower
110,18890 ,Lower
109,17919 ,Lower
108,17692 ,Lower
107,17640 ,Lower
106,17604 ,Lower
105,17394 ,Lower
104,17167 ,Lower
103,17123 ,Lower
102,16982 ,Lower
101,16882 ,Lower
100,16874 ,Lower
99,16724 ,Lower
98,15988 ,Lower
97,14018 ,Lower
96,12873 ,Lower
95,12816 ,Lower
94,12145 ,Lower
93,10801 ,Lower
92,10200 ,Lower
91,10160 ,Lower
90,10116 ,Lower
89,9680 ,Lower
88,9517 ,Lower
87,9505 ,Lower
86,9131 ,Lower
85,9023 ,Lower
84,8343 ,Lower
83,8190 ,Lower
82,8174 ,Lower
81,8036 ,Lower
80,8010 ,Lower
79,7630 ,Lower
78,7629 ,Lower
77,7348 ,Lower
76,6614 ,Lower
75,6352 ,Lower
74,5974 ,Lower
73,5845 ,Lower
72,5691 ,Lower
71,5379 ,Lower
70,5213 ,Lower
69,5183 ,Lower
68,5026 ,Lower
67,4911 ,Lower
66,4802 ,Lower
65,4314 ,Lower
64,4289 ,Lower
63,4104 ,Lower
62,4063 ,Lower
61,3966 ,Lower
60,3722 ,Lower
59,3379 ,Lower
58,3154 ,Lower
57,2925 ,Lower
56,2867 ,Lower
55,2591 ,Lower
54,2444 ,Lower
53,2368 ,Lower
52,2254 ,Lower
51,2197 ,Lower
50,2153 ,Lower
49,2150 ,Lower
48,1918 ,Lower
47,1820 ,Lower
46,1746 ,Lower
45,1719 ,Lower
44,1650 ,Lower
43,1622 ,Lower
42,1606 ,Lower
41,1578 ,Lower
40,1358 ,Lower
39,1304 ,Lower
38,1289 ,Lower
37,1252 ,Lower
36,1172 ,Lower
35,1073 ,Lower
34,1049 ,Lower
33,1034 ,Lower
32,967 ,Lower
31,934 ,Lower
30,928 ,Lower
29,901 ,Lower
28,889 ,Lower
27,875 ,Lower
26,829 ,Lower
25,791 ,Lower
24,736 ,Lower
23,709 ,Lower
22,662 ,Lower
21,642 ,Lower
20,623 ,Lower
19,617 ,Lower
18,612 ,Lower
17,592 ,Lower
16,541 ,Lower
15,523 ,Lower
14,515 ,Lower
13,510 ,Lower
12,473 ,Lower
11,394 ,Lower
10,384 ,Lower
9,305 ,Lower
8,284 ,Lower
7,284 ,Lower
6,256 ,Lower
5,223 ,Lower
4,203 ,Lower
3,105 ,Lower
2,99 ,Lower
1,86 ,Lower
1,160,Upper
2,190,Upper
3,190,Upper
4,210,Upper
5,210,Upper
6,230,Upper
7,270,Upper
8,270,Upper
9,300,Upper
10,300,Upper
11,330,Upper
12,350,Upper
13,360,Upper
14,360,Upper
15,370,Upper
16,410,Upper
17,410,Upper
18,420,Upper
19,440,Upper
20,500,Upper
21,500,Upper
22,550,Upper
23,560,Upper
24,570,Upper
25,600,Upper
26,600,Upper
27,690,Upper
28,710,Upper
29,760,Upper
30,770,Upper
31,970,Upper
32,1060,Upper
33,1060,Upper
34,1070,Upper
35,1080,Upper
36,1110,Upper
37,1130,Upper
38,1160,Upper
39,1160,Upper
40,1170,Upper
41,1180,Upper
42,1200,Upper
43,1370,Upper
44,1380,Upper
45,1500,Upper
46,1520,Upper
47,1800,Upper
48,1810,Upper
49,1870,Upper
50,2040,Upper
51,2140,Upper
52,2400,Upper
53,2800,Upper
54,2960,Upper
55,3330,Upper
56,3360,Upper
57,3440,Upper
58,3650,Upper
59,4010,Upper
60,4140,Upper
61,4750,Upper
62,5370,Upper
63,6120,Upper
64,6470,Upper
65,7310,Upper
66,8820,Upper
67,10000,Upper
68,10000,Upper
69,10000,Upper
70,10000,Upper
71,10000,Upper
72,10000,Upper
73,10000,Upper
74,10000,Upper
75,10000,Upper
76,10000,Upper
77,10000,Upper
78,10000,Upper
79,10000,Upper
80,10000,Upper
81,10000,Upper
82,10000,Upper
