iid	cortex	cerebellum	brain	heart	liver	kidneys	left_body	right_body	left_brain	right_brain	large	small	neun	olig2	pu1	tbr1	lhx2	dapi	cell	control	prefrontal	frontal	parietal	temporal	occipital
7614_Cbl	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7614_Ctx_F_L_Lhx2	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0
7614_Ctx_F_L_Lrg	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
7614_Ctx_F_L_NeuN	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0
7614_Ctx_F_L_Olig2	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0
7614_Ctx_F_L_PU1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
7614_Ctx_F_L_Sml	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
7614_Ctx_F_R_Lhx2	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0
7614_Ctx_F_R_Lrg	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
7614_Ctx_F_R_NeuN	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0
7614_Ctx_F_R_Olig2	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0
7614_Ctx_F_R_PU1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
7614_Ctx_F_R_Sml	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
7614_Ctx_O_L_Lhx2	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
